time,d_l,d_r,llen,rlen,left_gps_x,left_gps_y,left_gps_z,right_gps_x,right_gps_y,right_gps_z,subject_x,subject_y,subject_z,v_r,v_l
64,0.0,0.0,0.47892276135208933,0.48725391392243006,-0.2830251449338017,0.07990893578473596,-0.3863467078626539,-0.41716005417369695,0.07990626233317036,-0.2517813850039853,0.0,0.06,0.0,0,0
128,0.011705268017101755,0.011502389135208457,0.4906280293691911,0.4987563030576385,-0.28301973850896717,0.07987914889778994,-0.3863419210628071,-0.41715464777318256,0.0798774885437952,-0.25177659821206694,0.008377555910807761,0.06,0.008377574284877495,0.11808146898995053,0.11199510253315159
192,0.02322774150028417,0.022838486809351577,0.5021505028523735,0.5100924007317816,-0.282879148041585,0.07986777292859437,-0.3862021140955093,-0.4170172506716726,0.07986667706858747,-0.25163997446626896,0.016754964829541225,0.06,0.016755111821615522,0.23516996191216766,0.22349232118418982
256,0.03451686039972102,0.03396167355700214,0.5134396217518103,0.5212155874794322,-0.2825677741037482,0.07986357611233642,-0.3858918091962953,-0.4167153098191106,0.07986265720114609,-0.25133907358437557,0.02513207976670521,0.06,0.0251325758622358,0.3497204724243989,0.3330648671428325
320,0.04557384052454194,0.044871351585497876,0.5244966018766313,0.5321252655079279,-0.2820870241002208,0.0798619829239093,-0.3854124860587273,-0.416249652572522,0.07986110642088624,-0.2508747994403117,0.03350875373796272,0.06,0.03350992965908245,0.46176329463586,0.44068862646453805
384,0.056402769461454394,0.05556980500834158,0.5353255308135437,0.5428237189307716,-0.28144037546360323,0.07986133944422606,-0.3847675589704139,-0.4156231118968264,0.07986047185379082,-0.25024992725419815,0.041884839766713915,0.06,0.04188713646498317,0.5713573391456721,0.5463684055522875
448,0.06700803957976909,0.0660597289294163,0.5459308009318584,0.5533136428518464,-0.2806315112930105,0.07986106556268906,-0.3839605758683523,-0.4148387243779758,0.07986020145893528,-0.24946736431022182,0.050260190886674945,0.06,0.05026415953341042,0.6785635023012186,0.6501141827906352
512,0.07739398775559747,0.07634393367602671,0.5563167491076868,0.5635978475984568,-0.27966404841466164,0.07986094604778966,-0.3829949842500578,-0.4138995177907966,0.07986008640707655,-0.2485299748214717,0.05863466014445667,0.06,0.058640962118642656,0.7834404183516823,0.7519387959645594
576,0.087564785651562,0.08642530295986889,0.5664875470036513,0.573679216882299,-0.27854145694412175,0.07986089255618842,-0.3818740653897219,-0.41280848923774704,0.07986003993839291,-0.2474405723965856,0.06700810060214296,0.06,0.06701750747592544,0.8860426834325512,0.8518582026817576
640,0.09752454747991657,0.09630683014002478,0.5764473088320059,0.5835607440624548,-0.2772671379471049,0.07986086628158637,-0.3806010199298856,-0.4115686399938113,0.07986002408921447,-0.24620196283762313,0.07538036533986907,0.06,0.0753937588616327,0.9864226481980836,0.9498911280013298
704,0.10727732483388519,0.10599155741405902,0.5862000861859745,0.5932454713364891,-0.2758444222566421,0.07986084999989643,-0.3791789701191561,-0.41018294017241425,0.07986002246981477,-0.24481691221771962,0.08375130745839925,0.06,0.08376967953342783,1.0846309225371136,1.0460578999423285
768,0.1168271098342244,0.11548256251863692,0.5957498711863137,0.602736476441067,-0.27427657468372485,0.07986083615382773,-0.37761096725060284,-0.4086543264107391,0.07986002841087524,-0.24328814774423427,0.09212078008170439,0.06,0.09214523275042491,1.1807165714981187,1.1403801520304946
832,0.12617797225635796,0.12478366601387553,0.6051007336084473,0.6120375799363056,-0.27256689666399453,0.07986082137343378,-0.3759000912271377,-0.40698621977612565,0.07986003944245768,-0.24161887298175133,0.1004886363595391,0.06,0.1005203817733499,1.2747227849884042,1.232893597713931
896,0.13533466039165354,0.13389819043786716,0.6142574217437429,0.6211521043602972,-0.2707191518027596,0.07986080406534765,-0.37404988507839637,-0.4051816340132609,0.07986005491859227,-0.23981188420968036,0.1088547294700182,0.06,0.10889508986470169,1.3667113034543994,1.323617204840808
960,0.14430098251647638,0.1428292262818444,0.6232237438685657,0.6300831402042745,-0.26873641096443646,0.07986078346126058,-0.37206320787234815,-0.40324337021427054,0.07986007483234381,-0.2378697731862156,0.11721891262219297,0.06,0.11726932028891332,1.4567273875110835,1.4125747004721245
1024,0.1530806402587921,0.15157985233348542,0.6320034016108814,0.6388337662559155,-0.26662165088435263,0.07986075895820269,-0.369942828749452,-0.40117418219581125,0.0798600993418481,-0.23579508811531436,0.12558103905862672,0.06,0.12564303631251314,1.5448142818409878,1.4997906440817876
1088,0.16167727273300847,0.16015313567925799,0.6406000340850978,0.647407049601688,-0.26437778680282176,0.07986073012536528,-0.36769146066246505,-0.39897678012076376,0.07986012864084548,-0.2335903383799322,0.1339409620579698,0.06,0.13401620120428595,1.6310140978675898,1.5852899862550751
1152,0.17009445654856226,0.16855212630079702,0.6490172179006516,0.6558060402232271,-0.26200767337537734,0.0798606966765356,-0.3653117624882674,-0.39665382965651946,0.07986016287418636,-0.2312579949230501,0.14229853493753378,0.06,0.14238877823543397,1.715367867963275,1.669097960530318
1216,0.17833570561207157,0.17677985257096324,0.6572584669641609,0.6640337664933933,-0.2595141053642703,0.07986065845732014,-0.3628063406972828,-0.3942079514239678,0.07986020207787166,-0.22880049070020902,0.15065361105586544,0.06,0.15076073067973816,1.797915586531799,1.7512399952985491
1280,0.18640447105179037,0.18483931751408939,0.6653272324038797,0.6720932314365194,-0.2568998183554833,0.07986061545405636,-0.360177750855896,-0.3916417206914985,0.079860246138223,-0.22622022118796217,0.1590060438153195,0.06,0.15913202181371913,1.8786962458949135,1.8317416397638842
1344,0.19430414122819306,0.19273349574352544,0.6732269025802824,0.6799874096659555,-0.25416748948453005,0.0798605678145584,-0.3574284989705042,-0.38895766729512693,0.07986029476329094,-0.22351954495430287,0.16735568666463096,0.06,0.1675026149167985,1.957747867128607,1.9106285025885783
1408,0.20203804179796792,0.20046533099464642,0.6809608031500572,0.6877192449170765,-0.2513197381579858,0.07986051587281598,-0.3545610426769477,-0.38615827576445344,0.07986034746254986,-0.2207007842873836,0.17570239310148633,0.06,0.1758724732714596,2.035107526012894,1.987926201913249
1472,0.20960943580982794,0.20803773418051003,0.6885321971619173,0.6952916481029401,-0.2483591267657112,0.0798604601730279,-0.3515777922815676,-0.38324598563591866,0.0798604035340331,-0.2177662258752007,0.18404601667509424,0.06,0.18424156016340879,2.1108113743914587,2.0636603255119215
1536,0.2170215238204981,0.21545358190392944,0.6959442851725874,0.7027074958263595,-0.24528816138520337,0.0798604014898361,-0.3484811116632307,-0.38022319193517073,0.07986046205962848,-0.2147181215259147,0.19238641098875514,0.06,0.19260983888173652,2.1848946573706676,2.1378563998736078
1600,0.22427744402798389,0.22271571536325946,0.7032002053800732,0.7099696292856895,-0.24210929248477808,0.07986034084190262,-0.3452733190488799,-0.37709224580898454,0.0798605219096458,-0.2115586889149925,0.20072342970242973,0.06,0.2009772727190782,2.2573917269270836,2.2105398669853504
1664,0.23138027242746018,0.22982693959052752,0.7103030337795495,0.7170808535129576,-0.2388249156369738,0.07986027949582394,-0.3419566876788081,-0.3738554552846242,0.07986058175756586,-0.20829011234161715,0.20905692653530691,0.06,0.2093438249717753,2.3283360526439285,2.281736067535949
1728,0.238333023003093,0.2367900229604209,0.7172557843551823,0.724043936882851,-0.2354373722578565,0.07986021895724586,-0.3385334463819816,-0.37051508613125705,0.0798606401054227,-0.2049145434731552,0.2173867552683702,0.06,0.2177094589400364,2.3977602304576515,2.351470229177488
1792,0.24513864797667317,0.24360769690773015,0.7240614093287625,0.7308616108301602,-0.23194895039165075,0.07986016094614516,-0.33500578008618864,-0.36707336279436664,0.07986069531971897,-0.20143410205324935,0.22571276974696333,0.06,0.22607413792809808,2.465695990456162,2.4197674583878714
1856,0.25180003814070184,0.25028265578975156,0.7307227994927912,0.7375365697121816,-0.22836188556303844,0.07986010735372168,-0.331375830292249,-0.3635324693704147,0.07986074567722465,-0.1978508765466452,0.23403482388335484,0.06,0.23443782524438594,2.532174204916522,2.4866527343880134
1920,0.258320023309046,0.2568175568295125,0.7372427846611354,0.7440714707519426,-0.22467836172119188,0.07986006017927802,-0.3276456955455793,-0.3598945505856617,0.07986078941954688,-0.19416692469254734,0.2423527716593011,0.06,0.2428004842016756,2.597224897885795,2.55215090349979
1984,0.26470137292187623,0.2632150200761649,0.7436241342739656,0.7504689339985949,-0.22090051229975646,0.07986002144690355,-0.32381743194159457,-0.35616171274050235,0.07986082481505008,-0.19038427393848445,0.2506664671286084,0.06,0.25116207811725344,2.660877257675876,2.616286672304535
2048,0.27094679684272327,0.2694776283211095,0.7498695581948126,0.7567315422435396,-0.21703042141521595,0.07985999310368865,-0.3198930537032103,-0.3523360245793573,0.0798608502265817,-0.1865049217286855,0.25897576441969394,0.06,0.25952257031307785,2.723159653643371,2.6790845979949576
2112,0.2770589463835287,0.27560792691294794,0.755981707735618,0.762861840835378,-0.2130701252220204,0.07985997690346303,-0.31587453386856734,-0.3484195180465149,0.07986086418351479,-0.182530835625068,0.2672805177381446,0.06,0.26788192411593953,2.7840996585410944,2.740569074423672
2176,0.28304041558804394,0.28160842342163644,0.7619631769401333,0.7688623373440665,-0.20902161343633893,0.07985997428244915,-0.3117638051245277,-0.3444141888907314,0.07986086545676549,-0.17846395324526848,0.27558058136927605,0.06,0.2762401028576231,2.8437240775445147,2.80076431255229
