Frame;time;X1;Y1;Z1;X2;Y2;Z2;X3;Y3;Z3
57;0.57;-0.130435;0.149878;-0.122014;0.013814;0.149667;-0.307722;0.152336;0.780685;0.201326
58;0.58;-0.130596;0.149857;-0.122091;0.014086;0.149682;-0.307507;0.154855;0.781598;0.20203
59;0.59;-0.130727;0.149796;-0.121925;0.014364;0.149605;-0.307151;0.157277;0.782162;0.202745
60;0.6;-0.131024;0.149823;-0.121986;0.014525;0.149764;-0.306772;0.159685;0.782493;0.203501
61;0.61;-0.131232;0.14981;-0.122129;0.014891;0.149672;-0.306635;0.162041;0.783093;0.204156
62;0.62;-0.131487;0.149798;-0.122393;0.01517;0.149654;-0.306399;0.164687;0.783604;0.204836
63;0.63;-0.131713;0.149856;-0.122653;0.01558;0.149583;-0.306373;0.167267;0.784294;0.205533
64;0.64;-0.131825;0.149825;-0.1228;0.015968;0.149573;-0.306155;0.169634;0.784746;0.20633
65;0.65;-0.132073;0.149825;-0.12292;0.016383;0.149503;-0.305789;0.172388;0.785216;0.207078
66;0.66;-0.132337;0.149852;-0.123014;0.016632;0.149582;-0.305605;0.174975;0.785713;0.20773
67;0.67;-0.132687;0.149875;-0.123093;0.016761;0.149485;-0.305023;0.17768;0.786515;0.208447
68;0.68;-0.132924;0.149862;-0.12324;0.017032;0.149475;-0.304817;0.180184;0.786821;0.209206
69;0.69;-0.132995;0.149882;-0.123374;0.017387;0.149502;-0.304646;0.182816;0.787081;0.210055
70;0.7;-0.133124;0.149858;-0.12356;0.017799;0.149607;-0.304193;0.185422;0.787545;0.211023
71;0.71;-0.133415;0.149851;-0.123708;0.018154;0.149834;-0.304011;0.188045;0.787928;0.211743
72;0.72;-0.133652;0.149854;-0.123755;0.018509;0.149811;-0.303611;0.190933;0.788224;0.212519
73;0.73;-0.133847;0.14986;-0.123876;0.018915;0.149829;-0.303275;0.193606;0.788945;0.213289
74;0.74;-0.133915;0.149841;-0.124033;0.019313;0.149659;-0.303124;0.196348;0.789199;0.214248
75;0.75;-0.134047;0.149826;-0.124224;0.019636;0.149783;-0.302749;0.198998;0.78935;0.21531
76;0.76;-0.134328;0.149861;-0.124342;0.01993;0.149781;-0.3024;0.201524;0.789768;0.216333
77;0.77;-0.134599;0.149852;-0.124453;0.020201;0.149784;-0.30205;0.204447;0.790131;0.217436
78;0.78;-0.13481;0.149851;-0.1246;0.02049;0.149652;-0.301898;0.206966;0.790602;0.2186
79;0.79;-0.134906;0.149837;-0.124756;0.020834;0.149679;-0.301664;0.20973;0.79105;0.219964
80;0.8;-0.13507;0.149858;-0.124967;0.021049;0.149705;-0.301489;0.212439;0.79143;0.221142
81;0.81;-0.135404;0.149874;-0.125087;0.021243;0.149936;-0.30098;0.215299;0.791891;0.222525
82;0.82;-0.135524;0.14991;-0.124935;0.02178;0.149853;-0.300429;0.217988;0.792411;0.224019
83;0.83;-0.135431;0.150047;-0.124723;0.02243;0.14992;-0.299574;0.220573;0.792573;0.225676
84;0.84;-0.134955;0.149895;-0.124278;0.023593;0.149778;-0.298639;0.223231;0.792881;0.227346
85;0.85;-0.134178;0.150022;-0.123639;0.024676;0.149663;-0.297708;0.225803;0.793185;0.229167
86;0.86;-0.133177;0.149976;-0.122778;0.026065;0.149644;-0.296639;0.228234;0.793431;0.231035
87;0.87;-0.131987;0.150003;-0.121855;0.027363;0.14953;-0.295539;0.230854;0.793686;0.232887
88;0.88;-0.130591;0.149852;-0.120587;0.028812;0.149447;-0.294136;0.233353;0.793892;0.234797
89;0.89;-0.12924;0.149819;-0.119249;0.030025;0.149469;-0.292898;0.235869;0.794488;0.236626
90;0.9;-0.127853;0.149908;-0.117929;0.031532;0.149123;-0.291215;0.238269;0.794725;0.238537
91;0.91;-0.126533;0.149935;-0.116775;0.032966;0.14962;-0.290454;0.240723;0.794674;0.240476
92;0.92;-0.1251;0.149897;-0.115444;0.034554;0.149459;-0.289247;0.243101;0.794886;0.242402
93;0.93;-0.123496;0.149894;-0.114066;0.035746;0.149724;-0.287633;0.24557;0.795129;0.244349
94;0.94;-0.121988;0.149851;-0.112624;0.037253;0.149678;-0.285914;0.247801;0.795389;0.246349
95;0.95;-0.120311;0.149852;-0.111136;0.039177;0.149416;-0.284566;0.250191;0.79566;0.248363
96;0.96;-0.118585;0.149946;-0.109635;0.040736;0.149429;-0.282874;0.252507;0.795726;0.250412
97;0.97;-0.116983;0.149878;-0.108049;0.04257;0.149185;-0.281271;0.254859;0.796235;0.252417
98;0.98;-0.115318;0.14985;-0.106559;0.044349;0.149353;-0.279768;0.25693;0.796288;0.254412
99;0.99;-0.113638;0.149971;-0.105085;0.046298;0.149317;-0.278415;0.259211;0.796262;0.256537
100;1;-0.112036;0.149926;-0.103504;0.047797;0.149631;-0.276668;0.261383;0.796391;0.258511
101;1.01;-0.110308;0.149984;-0.102018;0.049607;0.149477;-0.274875;0.263491;0.796533;0.260537
102;1.02;-0.108513;0.149843;-0.100465;0.051377;0.149347;-0.273038;0.265581;0.796662;0.262444
