Frame;time;X1;Y1;Z1;X2;Y2;Z2;X3;Y3;Z3
56;0.560000;-0.417763;0.149000;-0.267595;-0.253057;0.149443;-0.424876;0.034583;0.786684;0.040225
57;0.570000;-0.417361;0.149046;-0.267157;-0.252664;0.149434;-0.424388;0.035362;0.786760;0.041031
58;0.580000;-0.416977;0.149048;-0.266692;-0.252272;0.149460;-0.423887;0.036068;0.786861;0.041866
59;0.590000;-0.416541;0.149040;-0.266218;-0.251878;0.149435;-0.423389;0.036784;0.786902;0.042754
60;0.600000;-0.416128;0.149008;-0.265774;-0.251401;0.149384;-0.422867;0.037400;0.786881;0.043785
61;0.610000;-0.415608;0.149049;-0.265330;-0.250952;0.149383;-0.422493;0.037960;0.786828;0.044734
62;0.620000;-0.415091;0.149008;-0.264815;-0.250525;0.149377;-0.422062;0.038475;0.786711;0.045741
63;0.630000;-0.414720;0.149034;-0.264343;-0.250089;0.149387;-0.421574;0.038958;0.786530;0.046835
64;0.640000;-0.414164;0.149007;-0.263713;-0.249699;0.149381;-0.421076;0.039450;0.786349;0.047850
65;0.650000;-0.413734;0.148984;-0.263203;-0.249253;0.149361;-0.420593;0.039933;0.786162;0.048889
66;0.660000;-0.413284;0.148935;-0.262713;-0.248846;0.149354;-0.420116;0.040414;0.785970;0.049860
67;0.670000;-0.412841;0.148831;-0.262234;-0.248335;0.149376;-0.419560;0.040822;0.785831;0.050815
68;0.680000;-0.412473;0.148821;-0.261714;-0.247892;0.149389;-0.419047;0.041201;0.785617;0.051894
69;0.690000;-0.411946;0.148820;-0.261091;-0.247468;0.149344;-0.418555;0.041560;0.785472;0.052859
70;0.700000;-0.411208;0.148952;-0.260479;-0.246924;0.149354;-0.418008;0.041938;0.785315;0.053871
71;0.710000;-0.410792;0.148976;-0.259947;-0.246375;0.149297;-0.417406;0.042347;0.785171;0.054915
72;0.720000;-0.410254;0.148942;-0.259449;-0.245841;0.149276;-0.416891;0.042720;0.785017;0.055871
73;0.730000;-0.409718;0.148938;-0.258942;-0.245310;0.149300;-0.416392;0.043117;0.784770;0.056873
74;0.740000;-0.409119;0.148916;-0.258479;-0.244827;0.149287;-0.415936;0.043478;0.784607;0.057761
75;0.750000;-0.408601;0.148894;-0.257911;-0.244369;0.149308;-0.415392;0.043860;0.784448;0.058616
76;0.760000;-0.408157;0.148866;-0.257385;-0.243939;0.149300;-0.414866;0.044264;0.784347;0.059508
77;0.770000;-0.407734;0.148872;-0.256850;-0.243521;0.149268;-0.414336;0.044709;0.784266;0.060318
78;0.780000;-0.407382;0.148899;-0.256323;-0.243026;0.149256;-0.413698;0.045124;0.784199;0.061224
79;0.790000;-0.406828;0.148939;-0.255734;-0.242451;0.149256;-0.413111;0.045569;0.784140;0.062056
80;0.800000;-0.406305;0.148965;-0.255167;-0.241893;0.149252;-0.412513;0.045955;0.784114;0.062792
81;0.810000;-0.405644;0.148969;-0.254536;-0.241379;0.149249;-0.411968;0.046370;0.784096;0.063509
82;0.820000;-0.405167;0.148921;-0.253960;-0.240900;0.149261;-0.411458;0.046707;0.784089;0.064154
83;0.830000;-0.404666;0.148922;-0.253457;-0.240379;0.149244;-0.410840;0.047076;0.784056;0.064796
84;0.840000;-0.404206;0.148872;-0.252970;-0.239878;0.149230;-0.410332;0.047410;0.783990;0.065343
85;0.850000;-0.403585;0.148940;-0.252367;-0.239372;0.149184;-0.409803;0.047813;0.783857;0.065976
86;0.860000;-0.403052;0.148861;-0.251876;-0.238852;0.149151;-0.409341;0.048192;0.783708;0.066646
87;0.870000;-0.402574;0.148897;-0.251403;-0.238285;0.149146;-0.408792;0.048674;0.783558;0.067209
88;0.880000;-0.402093;0.148863;-0.250875;-0.237801;0.149118;-0.408160;0.049214;0.783359;0.067836
89;0.890000;-0.401576;0.148719;-0.250315;-0.237227;0.149107;-0.407496;0.049823;0.783182;0.068420
90;0.900000;-0.401063;0.148685;-0.249734;-0.236665;0.149134;-0.406912;0.050530;0.783030;0.069016
91;0.910000;-0.400401;0.148669;-0.249104;-0.236158;0.149136;-0.406338;0.051301;0.782891;0.069621
92;0.920000;-0.399909;0.148666;-0.248539;-0.235616;0.149180;-0.405729;0.052063;0.782788;0.070197
93;0.930000;-0.399509;0.148678;-0.247897;-0.235153;0.149159;-0.405148;0.052901;0.782729;0.070811
94;0.940000;-0.399052;0.148635;-0.247339;-0.234666;0.149112;-0.404535;0.053731;0.782664;0.071415
95;0.950000;-0.398595;0.148622;-0.246884;-0.234154;0.149047;-0.403954;0.054533;0.782580;0.071943
96;0.960000;-0.398107;0.148605;-0.246403;-0.233601;0.148987;-0.403459;0.055417;0.782425;0.072427
97;0.970000;-0.397604;0.148645;-0.245913;-0.233066;0.148964;-0.402860;0.056259;0.782239;0.072899
98;0.980000;-0.397120;0.148668;-0.245323;-0.232510;0.148975;-0.402199;0.057097;0.782014;0.073388
99;0.990000;-0.396551;0.148659;-0.244851;-0.231944;0.149003;-0.401612;0.057909;0.781803;0.073956
100;1.000000;-0.395962;0.148680;-0.244148;-0.231396;0.149034;-0.401122;0.058813;0.781519;0.074487
101;1.010000;-0.395453;0.148713;-0.243536;-0.230896;0.149011;-0.400556;0.059720;0.781188;0.075067
102;1.020000;-0.394849;0.148684;-0.242883;-0.230418;0.148987;-0.399986;0.060556;0.780841;0.075745
103;1.030000;-0.394348;0.148648;-0.242273;-0.229905;0.148985;-0.399431;0.061473;0.780491;0.076435
104;1.040000;-0.393849;0.148638;-0.241643;-0.229389;0.149031;-0.398861;0.062386;0.780153;0.077265
105;1.050000;-0.393320;0.148620;-0.241090;-0.228870;0.148936;-0.398062;0.063336;0.779775;0.078095
106;1.060000;-0.392876;0.148611;-0.240603;-0.228307;0.149001;-0.397646;0.064274;0.779457;0.078843
107;1.070000;-0.392268;0.148702;-0.240141;-0.227775;0.149015;-0.397150;0.065227;0.779205;0.079700
108;1.080000;-0.391765;0.148642;-0.239757;-0.227219;0.149001;-0.396546;0.066365;0.778977;0.080518
109;1.090000;-0.391296;0.148657;-0.239213;-0.226674;0.149001;-0.396018;0.067547;0.778800;0.081461
110;1.100000;-0.390845;0.148645;-0.238552;-0.226142;0.148972;-0.395426;0.068647;0.778717;0.082353
111;1.110000;-0.390501;0.148575;-0.238117;-0.225683;0.148861;-0.394787;0.069806;0.778565;0.083203
112;1.120000;-0.389883;0.148612;-0.237492;-0.225191;0.148887;-0.394259;0.071013;0.778465;0.084051
113;1.130000;-0.389448;0.148605;-0.236819;-0.224675;0.148954;-0.393756;0.072346;0.778450;0.084903
114;1.140000;-0.388936;0.148594;-0.236147;-0.224171;0.148992;-0.393243;0.073574;0.778481;0.085832
115;1.150000;-0.388477;0.148623;-0.235576;-0.223688;0.149004;-0.392695;0.074744;0.778532;0.086696
116;1.160000;-0.387861;0.148684;-0.235046;-0.223173;0.148997;-0.392084;0.075961;0.778558;0.087674
117;1.170000;-0.387358;0.148628;-0.234427;-0.222634;0.148972;-0.391470;0.077187;0.778711;0.088627
118;1.180000;-0.386798;0.148622;-0.233871;-0.222107;0.148938;-0.390910;0.078530;0.778897;0.089645
119;1.190000;-0.386158;0.148631;-0.233363;-0.221516;0.148923;-0.390327;0.079764;0.779120;0.090511
120;1.200000;-0.385517;0.148667;-0.232844;-0.220940;0.148921;-0.389688;0.080965;0.779365;0.091471
121;1.210000;-0.384930;0.148690;-0.232334;-0.220413;0.148941;-0.389128;0.082194;0.779592;0.092476
122;1.220000;-0.384404;0.148675;-0.231723;-0.219905;0.148920;-0.388617;0.083595;0.779821;0.093535
123;1.230000;-0.383912;0.148720;-0.231043;-0.219424;0.148959;-0.388127;0.085061;0.780029;0.094578
124;1.240000;-0.383323;0.148679;-0.230331;-0.218954;0.148966;-0.387575;0.086429;0.780257;0.095645
125;1.250000;-0.382874;0.148557;-0.229716;-0.218429;0.148977;-0.386948;0.087887;0.780454;0.096798
126;1.260000;-0.382399;0.148489;-0.229118;-0.217902;0.148956;-0.386270;0.089416;0.780709;0.097963
127;1.270000;-0.381967;0.148562;-0.228571;-0.217370;0.149021;-0.385605;0.090916;0.780981;0.099112
128;1.280000;-0.381387;0.148569;-0.228024;-0.216725;0.149040;-0.384966;0.092442;0.781261;0.100326
129;1.290000;-0.380866;0.148650;-0.227399;-0.216188;0.149023;-0.384445;0.094030;0.781600;0.101772
130;1.300000;-0.380386;0.148678;-0.226796;-0.215654;0.148992;-0.383907;0.095553;0.781931;0.103020
131;1.310000;-0.379788;0.148682;-0.226181;-0.215122;0.148970;-0.383299;0.097154;0.782156;0.104338
132;1.320000;-0.379232;0.148657;-0.225438;-0.214513;0.148891;-0.382448;0.098707;0.782438;0.105762
133;1.330000;-0.378584;0.148696;-0.224813;-0.213864;0.148943;-0.381947;0.100270;0.782668;0.107195
134;1.340000;-0.377944;0.148615;-0.224244;-0.213243;0.148938;-0.381323;0.101891;0.782926;0.108790
135;1.350000;-0.377320;0.148552;-0.223658;-0.212621;0.148864;-0.380516;0.103491;0.783218;0.110207
136;1.360000;-0.376806;0.148533;-0.223031;-0.212004;0.148912;-0.379898;0.105125;0.783508;0.111675
137;1.370000;-0.376106;0.148513;-0.222441;-0.211466;0.148940;-0.379224;0.106835;0.783702;0.113321
138;1.380000;-0.375454;0.148571;-0.221802;-0.210888;0.148916;-0.378606;0.108416;0.783954;0.114949
