Frame;time;X1;Y1;Z1;X2;Y2;Z2;X3;Y3;Z3
54;0.540000;-0.014377;0.794287;-0.005310;-0.262783;0.149629;-0.441175;-0.420221;0.149071;-0.276918
55;0.550000;-0.014408;0.794241;-0.005311;-0.262775;0.149638;-0.441185;-0.420202;0.149089;-0.276913
56;0.560000;-0.014486;0.794221;-0.005374;-0.262764;0.149623;-0.441191;-0.420185;0.149084;-0.276896
57;0.570000;-0.014504;0.794153;-0.005389;-0.262767;0.149620;-0.441191;-0.420159;0.149085;-0.276884
58;0.580000;-0.014554;0.794119;-0.005406;-0.262787;0.149628;-0.441198;-0.420197;0.149120;-0.276861
59;0.590000;-0.014562;0.794056;-0.005413;-0.262773;0.149633;-0.441174;-0.420164;0.149045;-0.276833
60;0.600000;-0.014601;0.794045;-0.005422;-0.262768;0.149630;-0.441178;-0.420194;0.149116;-0.276879
61;0.610000;-0.014623;0.793965;-0.005441;-0.262771;0.149635;-0.441177;-0.420180;0.149080;-0.276875
62;0.620000;-0.014670;0.793941;-0.005407;-0.262784;0.149625;-0.441185;-0.420184;0.149093;-0.276891
63;0.630000;-0.014668;0.793880;-0.005451;-0.262777;0.149623;-0.441189;-0.420207;0.149113;-0.276905
64;0.640000;-0.014664;0.793831;-0.005502;-0.262788;0.149627;-0.441189;-0.420170;0.149062;-0.276844
65;0.650000;-0.014633;0.793771;-0.005538;-0.262796;0.149617;-0.441197;-0.420206;0.149088;-0.276842
66;0.660000;-0.014615;0.793710;-0.005553;-0.262794;0.149631;-0.441193;-0.420200;0.149087;-0.276781
67;0.670000;-0.014570;0.793670;-0.005589;-0.262800;0.149626;-0.441192;-0.420201;0.149078;-0.276873
68;0.680000;-0.014570;0.793622;-0.005585;-0.262798;0.149621;-0.441194;-0.420188;0.149057;-0.276860
69;0.690000;-0.014578;0.793582;-0.005574;-0.262791;0.149627;-0.441202;-0.420165;0.149065;-0.276784
70;0.700000;-0.014554;0.793552;-0.005556;-0.262798;0.149606;-0.441211;-0.420234;0.149098;-0.276850
71;0.710000;-0.014547;0.793495;-0.005520;-0.262810;0.149619;-0.441187;-0.420185;0.149024;-0.276860
72;0.720000;-0.014529;0.793455;-0.005518;-0.262812;0.149621;-0.441203;-0.420181;0.149032;-0.276832
73;0.730000;-0.014555;0.793414;-0.005478;-0.262792;0.149623;-0.441185;-0.420208;0.149089;-0.276885
74;0.740000;-0.014550;0.793381;-0.005439;-0.262777;0.149636;-0.441201;-0.420215;0.149059;-0.276913
75;0.750000;-0.014545;0.793347;-0.005442;-0.262803;0.149626;-0.441194;-0.420236;0.149103;-0.276886
76;0.760000;-0.014569;0.793337;-0.005411;-0.262862;0.149619;-0.441216;-0.420167;0.149034;-0.276827
77;0.770000;-0.014563;0.793307;-0.005421;-0.262802;0.149614;-0.441206;-0.420256;0.149120;-0.276909
78;0.780000;-0.014594;0.793314;-0.005429;-0.262815;0.149604;-0.441199;-0.420234;0.149073;-0.276873
79;0.790000;-0.014624;0.793292;-0.005421;-0.262789;0.149606;-0.441179;-0.420213;0.149090;-0.276852
80;0.800000;-0.014696;0.793311;-0.005407;-0.262792;0.149609;-0.441195;-0.420197;0.149097;-0.276826
81;0.810000;-0.014731;0.793320;-0.005370;-0.262804;0.149610;-0.441171;-0.420206;0.149098;-0.276843
82;0.820000;-0.014775;0.793351;-0.005381;-0.262800;0.149613;-0.441186;-0.420222;0.149108;-0.276868
83;0.830000;-0.014849;0.793373;-0.005344;-0.262808;0.149625;-0.441190;-0.420172;0.149040;-0.276822
84;0.840000;-0.014912;0.793365;-0.005333;-0.262786;0.149605;-0.441189;-0.420155;0.149053;-0.276789
85;0.850000;-0.014981;0.793415;-0.005307;-0.262798;0.149620;-0.441197;-0.420165;0.149051;-0.276811
