Frame;time;X1;Y1;Z1;X2;Y2;Z2;X3;Y3;Z3
0;0.000000;-0.434678;0.148953;-0.275421;-0.272182;0.149450;-0.434331;-0.014920;0.797898;-0.036347
1;0.010000;-0.434674;0.148948;-0.275332;-0.272176;0.149452;-0.434355;-0.014467;0.797473;-0.036503
2;0.020000;-0.434612;0.148909;-0.275391;-0.272175;0.149463;-0.434340;-0.013977;0.796954;-0.036535
3;0.030000;-0.434775;0.148986;-0.275376;-0.272140;0.149455;-0.434342;-0.013357;0.796352;-0.036459
4;0.040000;-0.434637;0.148950;-0.275362;-0.272135;0.149460;-0.434333;-0.012852;0.795869;-0.036396
5;0.050000;-0.434745;0.148960;-0.275359;-0.272147;0.149466;-0.434325;-0.012354;0.795366;-0.036291
6;0.060000;-0.434769;0.149004;-0.275389;-0.272149;0.149454;-0.434351;-0.011882;0.794853;-0.036125
7;0.070000;-0.434763;0.149023;-0.275263;-0.272165;0.149459;-0.434372;-0.011370;0.794316;-0.035949
8;0.080000;-0.434809;0.149055;-0.275272;-0.272149;0.149448;-0.434354;-0.010820;0.793789;-0.035705
9;0.090000;-0.434644;0.148932;-0.275336;-0.272156;0.149456;-0.434352;-0.010194;0.793262;-0.035579
10;0.100000;-0.434748;0.148972;-0.275306;-0.272128;0.149452;-0.434351;-0.009683;0.792785;-0.035404
11;0.110000;-0.434588;0.148911;-0.275298;-0.272138;0.149452;-0.434363;-0.009154;0.792318;-0.035230
12;0.120000;-0.434762;0.148954;-0.275335;-0.272133;0.149455;-0.434350;-0.008611;0.791914;-0.035168
13;0.130000;-0.434662;0.148955;-0.275335;-0.272156;0.149436;-0.434331;-0.008118;0.791568;-0.035079
14;0.140000;-0.434629;0.148930;-0.275359;-0.272149;0.149430;-0.434349;-0.007594;0.791192;-0.034927
15;0.150000;-0.434589;0.148880;-0.275340;-0.272157;0.149432;-0.434352;-0.007127;0.790907;-0.034858
16;0.160000;-0.434734;0.148957;-0.275377;-0.272162;0.149453;-0.434359;-0.006674;0.790615;-0.034840
17;0.170000;-0.434795;0.149019;-0.275219;-0.272143;0.149437;-0.434345;-0.006269;0.790390;-0.034814
18;0.180000;-0.434810;0.149040;-0.275169;-0.272159;0.149443;-0.434334;-0.005860;0.790162;-0.034815
19;0.190000;-0.434666;0.148977;-0.275350;-0.272173;0.149441;-0.434351;-0.005487;0.789979;-0.034855
20;0.200000;-0.434593;0.148891;-0.275291;-0.272172;0.149441;-0.434345;-0.005158;0.789855;-0.034862
21;0.210000;-0.434647;0.148948;-0.275376;-0.272149;0.149455;-0.434347;-0.004808;0.789782;-0.034904
22;0.220000;-0.434614;0.148938;-0.275427;-0.272154;0.149451;-0.434329;-0.004532;0.789788;-0.034939
23;0.230000;-0.434649;0.148942;-0.275412;-0.272161;0.149438;-0.434329;-0.004236;0.789753;-0.035009
24;0.240000;-0.434644;0.148938;-0.275387;-0.272150;0.149425;-0.434349;-0.004030;0.789774;-0.035036
25;0.250000;-0.434623;0.148875;-0.275335;-0.272154;0.149434;-0.434347;-0.003855;0.789778;-0.035092
26;0.260000;-0.434839;0.149074;-0.275264;-0.272146;0.149438;-0.434333;-0.003677;0.789828;-0.035137
27;0.270000;-0.434762;0.149034;-0.275191;-0.272166;0.149440;-0.434334;-0.003494;0.789911;-0.035174
28;0.280000;-0.434666;0.148953;-0.275384;-0.272164;0.149433;-0.434355;-0.003327;0.790017;-0.035204
29;0.290000;-0.434685;0.148978;-0.275414;-0.272176;0.149436;-0.434352;-0.003190;0.790115;-0.035234
30;0.300000;-0.434604;0.148888;-0.275380;-0.272166;0.149444;-0.434332;-0.003057;0.790246;-0.035228
31;0.310000;-0.434660;0.148959;-0.275443;-0.272168;0.149452;-0.434319;-0.002935;0.790346;-0.035202
32;0.320000;-0.434656;0.148942;-0.275432;-0.272169;0.149439;-0.434337;-0.002833;0.790411;-0.035136
33;0.330000;-0.434658;0.148930;-0.275384;-0.272162;0.149457;-0.434343;-0.002654;0.790444;-0.035020
34;0.340000;-0.434657;0.148952;-0.275405;-0.272152;0.149441;-0.434327;-0.002573;0.790516;-0.034943
35;0.350000;-0.434660;0.148947;-0.275379;-0.272162;0.149442;-0.434342;-0.002441;0.790604;-0.034856
36;0.360000;-0.434651;0.148943;-0.275383;-0.272159;0.149449;-0.434344;-0.002339;0.790672;-0.034801
37;0.370000;-0.434787;0.148959;-0.275371;-0.272139;0.149451;-0.434342;-0.002269;0.790727;-0.034740
38;0.380000;-0.434591;0.148893;-0.275312;-0.272158;0.149458;-0.434340;-0.002208;0.790762;-0.034714
39;0.390000;-0.434685;0.149056;-0.275303;-0.272166;0.149449;-0.434329;-0.002178;0.790783;-0.034690
40;0.400000;-0.434683;0.149043;-0.275257;-0.272165;0.149466;-0.434342;-0.002152;0.790785;-0.034702
41;0.410000;-0.434660;0.148978;-0.275409;-0.272158;0.149447;-0.434355;-0.002172;0.790726;-0.034739
42;0.420000;-0.434613;0.148885;-0.275352;-0.272151;0.149458;-0.434354;-0.002212;0.790662;-0.034793
43;0.430000;-0.434785;0.149003;-0.275423;-0.272154;0.149447;-0.434341;-0.002310;0.790599;-0.034910
44;0.440000;-0.434765;0.148954;-0.275404;-0.272154;0.149445;-0.434344;-0.002415;0.790569;-0.035047
45;0.450000;-0.434644;0.148956;-0.275430;-0.272165;0.149450;-0.434351;-0.002551;0.790535;-0.035261
46;0.460000;-0.434640;0.148947;-0.275420;-0.272156;0.149444;-0.434350;-0.002823;0.790542;-0.035480
47;0.470000;-0.434659;0.148941;-0.275431;-0.272157;0.149442;-0.434349;-0.003105;0.790607;-0.035672
48;0.480000;-0.434656;0.148922;-0.275391;-0.272168;0.149447;-0.434334;-0.003487;0.790743;-0.035790
49;0.490000;-0.434808;0.149026;-0.275283;-0.272166;0.149451;-0.434363;-0.003963;0.791000;-0.035866
50;0.500000;-0.434701;0.148978;-0.275445;-0.272183;0.149432;-0.434372;-0.004515;0.791357;-0.035899
51;0.510000;-0.434815;0.148986;-0.275437;-0.272173;0.149443;-0.434354;-0.005169;0.791760;-0.035849
52;0.520000;-0.434674;0.148951;-0.275396;-0.272166;0.149451;-0.434358;-0.005858;0.792168;-0.035715
53;0.530000;-0.434678;0.149016;-0.275222;-0.272159;0.149437;-0.434349;-0.006550;0.792597;-0.035600
54;0.540000;-0.434678;0.148974;-0.275400;-0.272174;0.149452;-0.434363;-0.007241;0.793002;-0.035537
55;0.550000;-0.434675;0.148976;-0.275465;-0.272154;0.149433;-0.434354;-0.008023;0.793422;-0.035481
56;0.560000;-0.434612;0.148898;-0.275379;-0.272169;0.149448;-0.434341;-0.008686;0.793787;-0.035384
57;0.570000;-0.434631;0.148884;-0.275328;-0.272168;0.149448;-0.434353;-0.009291;0.794059;-0.035335
58;0.580000;-0.434650;0.148929;-0.275391;-0.272182;0.149451;-0.434357;-0.009913;0.794315;-0.035231
59;0.590000;-0.434652;0.148945;-0.275428;-0.272169;0.149443;-0.434351;-0.010424;0.794484;-0.035100
60;0.600000;-0.434786;0.148947;-0.275403;-0.272163;0.149445;-0.434340;-0.010949;0.794636;-0.034972
61;0.610000;-0.434801;0.148949;-0.275389;-0.272165;0.149433;-0.434336;-0.011381;0.794704;-0.034805
62;0.620000;-0.434831;0.149041;-0.275323;-0.272162;0.149434;-0.434352;-0.011817;0.794760;-0.034505
63;0.630000;-0.434777;0.148988;-0.275421;-0.272175;0.149437;-0.434355;-0.012224;0.794809;-0.034210
64;0.640000;-0.434713;0.148898;-0.275362;-0.272159;0.149444;-0.434345;-0.012670;0.794971;-0.033862
65;0.650000;-0.434626;0.148906;-0.275371;-0.272174;0.149449;-0.434369;-0.013099;0.795211;-0.033463
66;0.660000;-0.434815;0.149073;-0.275326;-0.272162;0.149439;-0.434353;-0.013601;0.795488;-0.032959
67;0.670000;-0.434693;0.148976;-0.275407;-0.272161;0.149450;-0.434352;-0.014034;0.795855;-0.032461
68;0.680000;-0.434704;0.149051;-0.275295;-0.272151;0.149436;-0.434359;-0.014473;0.796280;-0.031950
