time,d_l,d_r,llen,rlen,left_gps_x,left_gps_y,left_gps_z,right_gps_x,right_gps_y,right_gps_z,subject_x,subject_y,subject_z,v_r,v_l
64,0.0,0.0,0.48489948880132505,0.4958422911735149,-0.29302514493380166,0.07990893578473596,-0.38634670786265396,-0.4271600541736969,0.07990626233317036,-0.25178138500398534,0.0,0.06,0.0,0,0
128,0.011732920816569847,0.011472621216653878,0.4966324096178949,0.5073149123901688,-0.2930197385089672,0.07987914889778994,-0.3863419210628072,-0.42715464777318257,0.0798774885437952,-0.251776598212067,0.008377482414770612,0.06,0.008377555910807761,0.0627198470813787,0.05230786308473992
192,0.023356504541857892,0.02286098523580754,0.5082559933431829,0.5187032764093225,-0.29293315071268616,0.07986775519995076,-0.3862559407668452,-0.427076284645957,0.07986665857874181,-0.25169881677350925,0.01675437686898136,0.06,0.016754964829541225,0.12495411056517061,0.10513333832315655
256,0.03485946573121168,0.03415571930263367,0.5197589545325367,0.5299980104761486,-0.2927579956872922,0.07986354584113044,-0.3860814077724075,-0.4269196207968685,0.07986262595143385,-0.25154272059614846,0.025130095443337472,0.06,0.02513207976670521,0.18611289115617358,0.15796303401305312
320,0.046241239656657496,0.045353251573214404,0.5311407284579825,0.5411955427467293,-0.2924944775188381,0.07986194938167392,-0.3858186044037735,-0.42668342061432596,0.079861071686968,-0.2513071641834504,0.03350405030107148,0.06,0.03350875373796272,0.24624598974354156,0.21072646640581788
384,0.0575026121790001,0.05645184046925572,0.5424021009803252,0.5522941316427706,-0.29214380380779015,0.07986130747257307,-0.3854686920246659,-0.42636773288353125,0.07986043795181848,-0.2509921629844116,0.04187565372919962,0.06,0.041884839766713915,0.30540156581552713,0.2633706974257519
448,0.06864453952753324,0.0674503445439057,0.5535440283288583,0.5632926357174206,-0.2917073146129441,0.0798610364885683,-0.3850328967323877,-0.42597298267450356,0.07986016877376273,-0.2505980412103536,0.05024431817976955,0.06,0.05026019088667495,0.3636211098511483,0.3158533105060463
512,0.07966795280656447,0.07834782231712195,0.5645674416078895,0.5741901134906369,-0.2911863256350514,0.07986092003844944,-0.38451238887692707,-0.4254996761008754,0.0798600537390125,-0.250125172647502,0.058609456311096486,0.06,0.05863466014445666,0.42094204759806636,0.3681368280203657
576,0.09057372527771379,0.0891434567573905,0.5754732140790388,0.5849857479309054,-0.2905820998936336,0.07986087003891577,-0.38390826858180416,-0.42494834886444566,0.07986000584643492,-0.249573942600814,0.0669704810289849,0.06,0.06700810060214298,0.4773983254942266,0.42018758468129475
640,0.10136269038639634,0.09983655002587005,0.5862621791877214,0.595678841199385,-0.2898958596750367,0.07986084822453228,-0.3832215835962161,-0.42431956766543516,0.0798599871068104,-0.24894475488265677,0.07532680552793272,0.06,0.07538036533986908,0.5330209082411916,0.47197529382014025
