time,d_l,d_r,llen,rlen,left_gps_x,left_gps_y,left_gps_z,right_gps_x,right_gps_y,right_gps_z,subject_x,subject_y,subject_z,v_r,v_l
32064,0.21171835003771133,0.13654681138988795,0.6966178388390364,0.6323891025634029,2.1357499161038094,0.0798605332344345,2.8963838655853285,1.9476474463622877,0.07986022364262775,2.8695984054055192,1.7320508075688776,0.06,3.4641016151377544,3.480651614275993,3.480651614275993
32128,0.21114231551122664,0.13483743152293132,0.6960418043125517,0.6306797226964462,2.134729187005278,0.07986058816375764,2.9035519444445255,1.946626799384576,0.07986016953729556,2.876765907574247,1.7278468343856705,0.06,3.46828280465796,3.4577974703415797,3.4577974703415797
32192,0.21064071991860334,0.13319656662136398,0.6955402087199284,0.6290388577948789,2.133715141973209,0.07986063313235955,2.91067298768293,1.9456128420632048,0.07986012552866659,2.88388633488141,1.7236125445095103,0.06,3.4724487805929565,3.4363728653996732,3.4363728653996732
32256,0.21021122061487052,0.1316219403854883,0.6951107094161956,0.6274642315590032,2.132707368022648,0.07986066631621028,2.917749865701413,1.9446051523743515,0.07986009368593325,2.8909626212019517,1.719348012234982,0.06,3.4765995246687353,3.4163316100035885,3.4163316100035885
32320,0.2098515762219696,0.13011138059413135,0.6947510650232946,0.6259536717676463,2.131705467281383,0.07986068627597141,2.924785358930816,1.9436033239504704,0.07986007546773484,2.897997606618541,1.7150533123873049,0.06,3.4807350186781023,3.3976295681610096,3.3976295681610096
32384,0.2095596471424822,0.12866283950943486,0.6944591359438073,0.6245051306829498,2.130709054726886,0.07986069204823652,2.9317821550830026,1.9426069664955743,0.07986007166554766,2.904994015867394,1.7107285203210134,0.06,3.4848552444807575,3.3802248665191708,3.3802248665191708
32448,0.20933338315412864,0.12727446394448577,0.6942328719554537,0.6231167551180007,2.12971774920322,0.0798606830823991,2.938742857304996,1.9416157085847758,0.0798600822761584,2.9119543837610227,1.706373711918641,0.06,3.4889601840033744,3.3640784709861444,3.3640784709861444
32512,0.20917061142648186,0.1259441127887016,0.6940701002278069,0.6217864039622165,2.1287311864542873,0.07986065963497112,2.945670262392186,1.94062917726753,0.0798601067721154,2.9188815681425706,1.701988963589384,0.06,3.49304981923968,3.349147242151835,3.349147242151835
32576,0.2090693399786786,0.12466943125998159,0.6939688287800037,0.6205117224334965,2.1277490570360222,0.07986062298207543,2.9525670106408435,1.9396469968879315,0.07986014411563296,2.9257786742271223,1.6975743522677638,0.06,3.4971241322505344,3.335387712386602,3.335387712386602
32640,0.20902781559440464,0.12344930557404671,0.6939273043957297,0.6192915967475616,2.126770992650524,0.07986057506587826,2.959435419789292,1.93866887167464,0.07986019260175165,2.932647510497455,1.6931299554122758,0.06,3.5011831051640057,3.322771211684514,3.322771211684514
32704,0.2090442989600595,0.12228218452321743,0.6939437877613845,0.6181244756967323,2.1257966522606293,0.07986051837804627,2.9662778353548656,1.9376944700481942,0.07986025015799388,2.9394903560623313,1.6886558510040304,0.06,3.5052267201754543,3.3112648348327696,3.3112648348327696
32768,0.20911712899535861,0.12116659018256487,0.6940166177966837,0.6170088813560798,2.124825702416346,0.07986045569820341,2.973096533916781,1.9367234672223963,0.07986031410620803,2.946309426663105,1.684152117545385,0.06,3.5092549595476052,3.300837191779235,3.300837191779235
32832,0.2092447087288798,0.12010111468595569,0.6941441975302048,0.6159434058594706,2.1238578160870665,0.07986039000996999,2.979893740051446,1.9357555458802687,0.0798603813876556,2.9531068786629096,1.679618834058566,0.06,3.513267805610631,3.291458234148355,3.291458234148355
